y,u_centerline,v_centerline
7.81250000e-03,-6.66542369e-03,1.95208869e-04
2.34375000e-02,-1.87560879e-02,4.18151407e-04
3.90625000e-02,-2.97466992e-02,4.82225458e-04
5.46875000e-02,-3.97640251e-02,5.58184755e-04
7.03125000e-02,-4.89267714e-02,6.36623024e-04
8.59375000e-02,-5.73467626e-02,7.11086285e-04
1.01562500e-01,-6.51298293e-02,7.77780392e-04
1.17187500e-01,-7.23764741e-02,8.35530707e-04
1.32812500e-01,-7.91823421e-02,8.85488996e-04
1.48437500e-01,-8.56385318e-02,9.31100269e-04
1.64062500e-01,-9.18317773e-02,9.77834132e-04
1.79687500e-01,-9.78445380e-02,1.03317071e-03
1.95312500e-01,-1.03755021e-01,1.10636339e-03
2.10937500e-01,-1.09637161e-01,1.20844373e-03
2.26562500e-01,-1.15560576e-01,1.35201509e-03
2.42187500e-01,-1.21590507e-01,1.55127267e-03
2.57812500e-01,-1.27787744e-01,1.82182614e-03
2.73437500e-01,-1.34208554e-01,2.18073194e-03
2.89062500e-01,-1.40904572e-01,2.64634542e-03
3.04687500e-01,-1.47922684e-01,3.23836635e-03
3.20312500e-01,-1.55304840e-01,3.97772641e-03
3.35937500e-01,-1.63087806e-01,4.88665563e-03
3.51562500e-01,-1.71302801e-01,5.98861915e-03
3.67187500e-01,-1.79974998e-01,7.30842252e-03
3.82812500e-01,-1.89122820e-01,8.87222436e-03
3.98437500e-01,-1.98756999e-01,1.07077151e-02
4.14062500e-01,-2.08879312e-01,1.28442534e-02
4.29687500e-01,-2.19480900e-01,1.53131835e-02
4.45312500e-01,-2.30540059e-01,1.81481869e-02
4.60937500e-01,-2.42019324e-01,2.13858672e-02
4.76562500e-01,-2.53861601e-01,2.50665100e-02
4.92187500e-01,-2.65984986e-01,2.92352247e-02
5.07812500e-01,-2.78275701e-01,1.95768360e-02
5.23437500e-01,-2.78087332e-01,1.02816635e-02
5.39062500e-01,-2.77843795e-01,1.54313818e-02
5.54687500e-01,-2.77378066e-01,2.07037635e-02
5.70312500e-01,-2.76498613e-01,2.60977504e-02
5.85937500e-01,-2.74992651e-01,3.15944671e-02
6.01562500e-01,-2.72630626e-01,3.71554020e-02
6.17187500e-01,-2.69171527e-01,4.27215654e-02
6.32812500e-01,-2.64368445e-01,4.82138846e-02
6.48437500e-01,-2.57973787e-01,5.35347585e-02
6.64062500e-01,-2.49743401e-01,5.85709509e-02
6.79687500e-01,-2.39438903e-01,6.31975349e-02
6.95312500e-01,-2.26827455e-01,6.72829315e-02
7.10937500e-01,-2.11678435e-01,7.06945299e-02
7.26562500e-01,-1.93756625e-01,7.33048289e-02
7.42187500e-01,-1.72811883e-01,7.49974606e-02
7.57812500e-01,-1.48565691e-01,7.56730879e-02
7.73437500e-01,-1.20695473e-01,7.52546130e-02
7.89062500e-01,-8.88181553e-02,7.36919574e-02
8.04687500e-01,-5.24750446e-02,7.09661281e-02
8.20312500e-01,-1.11207830e-02,6.70932207e-02
8.35937500e-01,3.58801655e-02,6.21283437e-02
8.51562500e-01,8.92452815e-02,5.61702860e-02
8.67187500e-01,1.49749030e-01,4.93667047e-02
8.82812500e-01,2.18175594e-01,4.19200307e-02
8.98437500e-01,2.95243609e-01,3.40925781e-02
9.14062500e-01,3.81498319e-01,2.62091818e-02
9.29687500e-01,4.77169941e-01,1.86534773e-02
9.45312500e-01,5.82004013e-01,1.18539103e-02
9.60937500e-01,6.95081091e-01,6.25437888e-03
9.76562500e-01,8.14659119e-01,2.26679110e-03
9.92187500e-01,9.38089396e-01,3.61824695e-04
