y,u_centerline,v_centerline
7.81250000e-03,-6.86986906e-03,2.36605860e-04
2.34375000e-02,-1.94294070e-02,4.87232147e-04
3.90625000e-02,-3.09503320e-02,5.16343373e-04
5.46875000e-02,-4.15596523e-02,5.43240562e-04
7.03125000e-02,-5.13760374e-02,5.60359418e-04
8.59375000e-02,-6.05110530e-02,5.62937340e-04
1.01562500e-01,-6.90701408e-02,5.48833064e-04
1.17187500e-01,-7.71533719e-02,5.18586142e-04
1.32812500e-01,-8.48560009e-02,4.75210604e-04
1.48437500e-01,-9.22688506e-02,4.24234265e-04
1.64062500e-01,-9.94785483e-02,3.73486626e-04
1.79687500e-01,-1.06567639e-01,3.33123347e-04
1.95312500e-01,-1.13614590e-01,3.15407336e-04
2.10937500e-01,-1.20693705e-01,3.34709604e-04
2.26562500e-01,-1.27874963e-01,4.07274330e-04
2.42187500e-01,-1.35223787e-01,5.51184749e-04
2.57812500e-01,-1.42800755e-01,7.86105594e-04
2.73437500e-01,-1.50661262e-01,1.13321077e-03
2.89062500e-01,-1.58855127e-01,1.61491003e-03
3.04687500e-01,-1.67426158e-01,2.25475447e-03
3.20312500e-01,-1.76411655e-01,3.07717905e-03
3.35937500e-01,-1.85841858e-01,4.10743227e-03
3.51562500e-01,-1.95739310e-01,5.37140135e-03
3.67187500e-01,-2.06118109e-01,6.89565221e-03
3.82812500e-01,-2.16983003e-01,8.70744756e-03
3.98437500e-01,-2.28328261e-01,1.08350309e-02
4.14062500e-01,-2.40136212e-01,1.33080012e-02
4.29687500e-01,-2.52375315e-01,1.61580395e-02
4.45312500e-01,-2.64997533e-01,1.94198898e-02
4.60937500e-01,-2.77934723e-01,2.31328537e-02
4.76562500e-01,-2.91093568e-01,2.73428307e-02
4.92187500e-01,-3.04348403e-01,3.21052474e-02
5.07812500e-01,-3.17530914e-01,2.17171960e-02
5.23437500e-01,-3.15854514e-01,1.17315149e-02
5.39062500e-01,-3.13848858e-01,1.76623771e-02
5.54687500e-01,-3.11302476e-01,2.37396129e-02
5.70312500e-01,-3.07989474e-01,2.99467060e-02
5.85937500e-01,-3.03675248e-01,3.62473330e-02
6.01562500e-01,-2.98123557e-01,4.25839038e-02
6.17187500e-01,-2.91104048e-01,4.88774962e-02
6.32812500e-01,-2.82399285e-01,5.50293278e-02
6.48437500e-01,-2.71810362e-01,6.09235324e-02
6.64062500e-01,-2.59160226e-01,6.64312459e-02
6.79687500e-01,-2.44293936e-01,7.14155450e-02
6.95312500e-01,-2.27075265e-01,7.57371422e-02
7.10937500e-01,-2.07379296e-01,7.92602368e-02
7.26562500e-01,-1.85080931e-01,8.18584402e-02
7.42187500e-01,-1.60039626e-01,8.34201887e-02
7.57812500e-01,-1.32080999e-01,8.38537531e-02
7.73437500e-01,-1.00976443e-01,8.30914529e-02
7.89062500e-01,-6.64223534e-02,8.10935233e-02
8.04687500e-01,-2.80211868e-02,7.78515333e-02
8.20312500e-01,1.47327306e-02,7.33921422e-02
8.35937500e-01,6.24588705e-02,6.77812475e-02
8.51562500e-01,1.15882911e-01,6.11293277e-02
8.67187500e-01,1.75810173e-01,5.35976430e-02
8.82812500e-01,2.43073674e-01,4.54052894e-02
8.98437500e-01,3.18450394e-01,3.68353176e-02
9.14062500e-01,4.02540995e-01,2.82379097e-02
9.29687500e-01,4.95612459e-01,2.00263614e-02
9.45312500e-01,5.97411357e-01,1.26615455e-02
9.60937500e-01,7.06968437e-01,6.61925979e-03
9.76562500e-01,8.22432699e-01,2.33701184e-03
9.92187500e-01,9.40992530e-01,3.43071921e-04
