y,u_centerline,v_centerline
7.81250000e-03,-5.98270884e-03,1.00858083e-04
2.34375000e-02,-1.66500998e-02,2.24762716e-04
3.90625000e-02,-2.60839697e-02,2.78136821e-04
5.46875000e-02,-3.43712074e-02,3.41963824e-04
7.03125000e-02,-4.16290257e-02,4.09068216e-04
8.59375000e-02,-4.79846074e-02,4.74725812e-04
1.01562500e-01,-5.35637535e-02,5.36212368e-04
1.17187500e-01,-5.84879465e-02,5.92619998e-04
1.32812500e-01,-6.28737543e-02,6.44441277e-04
1.48437500e-01,-6.68320145e-02,6.93430678e-04
1.64062500e-01,-7.04666721e-02,7.42250229e-04
1.79687500e-01,-7.38736989e-02,7.94387865e-04
1.95312500e-01,-7.71403341e-02,8.53874268e-04
2.10937500e-01,-8.03447176e-02,9.25262510e-04
2.26562500e-01,-8.35558832e-02,1.01341948e-03
2.42187500e-01,-8.68340727e-02,1.12356493e-03
2.57812500e-01,-9.02312984e-02,1.26113483e-03
2.73437500e-01,-9.37920968e-02,1.43187255e-03
2.89062500e-01,-9.75543882e-02,1.64175667e-03
3.04687500e-01,-1.01550389e-01,1.89713341e-03
3.20312500e-01,-1.05807501e-01,2.20469902e-03
3.35937500e-01,-1.10349139e-01,2.57166207e-03
3.51562500e-01,-1.15195456e-01,3.00577099e-03
3.67187500e-01,-1.20363930e-01,3.51549618e-03
3.82812500e-01,-1.25869806e-01,4.11009459e-03
3.98437500e-01,-1.31726371e-01,4.79980148e-03
4.14062500e-01,-1.37945038e-01,5.59592092e-03
4.29687500e-01,-1.44535249e-01,6.51101045e-03
4.45312500e-01,-1.51504151e-01,7.55897483e-03
4.60937500e-01,-1.58856030e-01,8.75521023e-03
4.76562500e-01,-1.66591447e-01,1.01166571e-02
4.92187500e-01,-1.74706027e-01,1.16618482e-02
5.07812500e-01,-1.83188789e-01,7.71280992e-03
5.23437500e-01,-1.84152308e-01,3.94064537e-03
5.39062500e-01,-1.85449350e-01,5.85724411e-03
5.54687500e-01,-1.87051112e-01,7.83553980e-03
5.70312500e-01,-1.88913920e-01,9.89057068e-03
5.85937500e-01,-1.90976364e-01,1.20331611e-02
6.01562500e-01,-1.93155562e-01,1.42687039e-02
6.17187500e-01,-1.95342535e-01,1.65957392e-02
6.32812500e-01,-1.97396672e-01,1.90045029e-02
6.48437500e-01,-1.99139362e-01,2.14753817e-02
6.64062500e-01,-2.00346903e-01,2.39775922e-02
6.79687500e-01,-2.00742905e-01,2.64680700e-02
6.95312500e-01,-1.99990432e-01,2.88910160e-02
7.10937500e-01,-1.97684247e-01,3.11780888e-02
7.26562500e-01,-1.93343542e-01,3.32497325e-02
7.42187500e-01,-1.86405706e-01,3.50175171e-02
7.57812500e-01,-1.76221698e-01,3.63878854e-02
7.73437500e-01,-1.62053853e-01,3.72669443e-02
7.89062500e-01,-1.43077083e-01,3.75665123e-02
8.04687500e-01,-1.18384736e-01,3.72108164e-02
8.20312500e-01,-8.70006471e-02,3.61439403e-02
8.35937500e-01,-4.78991839e-02,3.43373254e-02
8.51562500e-01,-3.52900264e-05,3.17974678e-02
8.67187500e-01,5.76133058e-02,2.85730769e-02
8.82812500e-01,1.25989517e-01,2.47617030e-02
8.98437500e-01,2.05883866e-01,2.05145687e-02
9.14062500e-01,2.97843532e-01,1.60386648e-02
9.29687500e-01,4.02063626e-01,1.15934037e-02
9.45312500e-01,5.18263902e-01,7.47939688e-03
9.60937500e-01,6.45558319e-01,4.01583350e-03
9.76562500e-01,7.82331491e-01,1.50526608e-03
9.92187500e-01,9.26154350e-01,2.61833776e-04
