y,u_centerline,v_centerline
7.81250000e-03,-5.92813705e-03,8.19765143e-05
2.34375000e-02,-1.64117776e-02,1.79201774e-04
3.90625000e-02,-2.53646694e-02,2.13523906e-04
5.46875000e-02,-3.29772242e-02,2.52499711e-04
7.03125000e-02,-3.94598517e-02,2.90997507e-04
8.59375000e-02,-4.49803107e-02,3.25951936e-04
1.01562500e-01,-4.96841512e-02,3.55884093e-04
1.17187500e-01,-5.37108742e-02,3.80708163e-04
1.32812500e-01,-5.71958169e-02,4.01313803e-04
1.48437500e-01,-6.02666141e-02,4.19433154e-04
1.64062500e-01,-6.30398684e-02,4.37299659e-04
1.79687500e-01,-6.56192935e-02,4.57588979e-04
1.95312500e-01,-6.80950598e-02,4.83165175e-04
2.10937500e-01,-7.05439568e-02,5.17095355e-04
2.26562500e-01,-7.30301566e-02,5.62477891e-04
2.42187500e-01,-7.56064045e-02,6.22518206e-04
2.57812500e-01,-7.83154892e-02,7.00424629e-04
2.73437500e-01,-8.11918243e-02,7.99526025e-04
2.89062500e-01,-8.42630197e-02,9.23216450e-04
3.04687500e-01,-8.75513283e-02,1.07509418e-03
3.20312500e-01,-9.10749167e-02,1.25893834e-03
3.35937500e-01,-9.48489113e-02,1.47885380e-03
3.51562500e-01,-9.88862280e-02,1.73926941e-03
3.67187500e-01,-1.03198177e-01,2.04508020e-03
3.82812500e-01,-1.07794881e-01,2.40166274e-03
3.98437500e-01,-1.12685508e-01,2.81501038e-03
4.14062500e-01,-1.17878358e-01,3.29176247e-03
4.29687500e-01,-1.23380812e-01,3.83932635e-03
4.45312500e-01,-1.29199154e-01,4.46591144e-03
4.60937500e-01,-1.35338268e-01,5.18062267e-03
4.76562500e-01,-1.41801215e-01,5.99347808e-03
4.92187500e-01,-1.48588652e-01,6.91544529e-03
5.07812500e-01,-1.55698088e-01,4.58803100e-03
5.23437500e-01,-1.56552131e-01,2.37963100e-03
5.39062500e-01,-1.57718287e-01,3.52096436e-03
5.54687500e-01,-1.59187239e-01,4.69921410e-03
5.70312500e-01,-1.60942951e-01,5.92484983e-03
5.85937500e-01,-1.62961147e-01,7.20666834e-03
6.01562500e-01,-1.65206919e-01,8.55128009e-03
6.17187500e-01,-1.67631149e-01,9.96240119e-03
6.32812500e-01,-1.70165447e-01,1.14400546e-02
6.48437500e-01,-1.72715219e-01,1.29795208e-02
6.64062500e-01,-1.75150531e-01,1.45702313e-02
6.79687500e-01,-1.77294489e-01,1.61944580e-02
6.95312500e-01,-1.78909021e-01,1.78261250e-02
7.10937500e-01,-1.79678232e-01,1.94296543e-02
7.26562500e-01,-1.79189881e-01,2.09593334e-02
7.42187500e-01,-1.76916053e-01,2.23591782e-02
7.57812500e-01,-1.72194706e-01,2.35638951e-02
7.73437500e-01,-1.64214389e-01,2.45008826e-02
7.89062500e-01,-1.52005070e-01,2.50938371e-02
8.04687500e-01,-1.34438406e-01,2.52676870e-02
8.20312500e-01,-1.10241040e-01,2.49551911e-02
8.35937500e-01,-7.80242694e-02,2.41045683e-02
8.51562500e-01,-3.63327933e-02,2.26881859e-02
8.67187500e-01,1.62858912e-02,2.07113075e-02
8.82812500e-01,8.11912901e-02,1.82206045e-02
8.98437500e-01,1.59540325e-01,1.53109520e-02
9.14062500e-01,2.52161576e-01,1.21295708e-02
9.29687500e-01,3.59420022e-01,8.87506009e-03
9.45312500e-01,4.81085709e-01,5.78930365e-03
9.60937500e-01,6.16226738e-01,3.13909839e-03
9.76562500e-01,7.63134058e-01,1.18634498e-03
9.92187500e-01,9.19220141e-01,2.07802492e-04
