y,u_centerline,v_centerline
7.81250000e-03,-6.78021288e-03,2.16439033e-04
2.34375000e-02,-1.91282834e-02,4.54681148e-04
3.90625000e-02,-3.04055013e-02,5.03628609e-04
5.46875000e-02,-4.07391991e-02,5.58334335e-04
7.03125000e-02,-5.02483102e-02,6.10154658e-04
8.59375000e-02,-5.90446268e-02,6.53335333e-04
1.01562500e-01,-6.72337738e-02,6.84778842e-04
1.17187500e-01,-7.49159470e-02,7.04055579e-04
1.32812500e-01,-8.21864532e-02,7.13157595e-04
1.48437500e-01,-8.91360880e-02,7.16503726e-04
1.64062500e-01,-9.58513755e-02,7.20703660e-04
1.79687500e-01,-1.02414701e-01,7.34566733e-04
1.95312500e-01,-1.08904352e-01,7.68880070e-04
2.10937500e-01,-1.15394495e-01,8.36417125e-04
2.26562500e-01,-1.21955087e-01,9.51725090e-04
2.42187500e-01,-1.28651753e-01,1.13112509e-03
2.57812500e-01,-1.35545609e-01,1.39250352e-03
2.73437500e-01,-1.42693060e-01,1.75529889e-03
2.89062500e-01,-1.50145541e-01,2.24029815e-03
3.04687500e-01,-1.57949222e-01,2.86961527e-03
3.20312500e-01,-1.66144639e-01,3.66650711e-03
3.35937500e-01,-1.74766251e-01,4.65536623e-03
3.51562500e-01,-1.83841891e-01,5.86159204e-03
3.67187500e-01,-1.93392083e-01,7.31164571e-03
3.82812500e-01,-2.03429169e-01,9.03304175e-03
3.98437500e-01,-2.13956208e-01,1.10545474e-02
4.14062500e-01,-2.24965541e-01,1.34064008e-02
4.29687500e-01,-2.36436931e-01,1.61207885e-02
4.45312500e-01,-2.48335090e-01,1.92324640e-02
4.60937500e-01,-2.60606391e-01,2.27797354e-02
4.76562500e-01,-2.73174381e-01,2.68058079e-02
4.92187500e-01,-2.85933611e-01,3.13607535e-02
5.07812500e-01,-2.98740971e-01,2.10929261e-02
5.23437500e-01,-2.97843885e-01,1.12096796e-02
5.39062500e-01,-2.96749701e-01,1.68450211e-02
5.54687500e-01,-2.95266324e-01,2.26110974e-02
5.70312500e-01,-2.93181847e-01,2.84989959e-02
5.85937500e-01,-2.90269261e-01,3.44806237e-02
6.01562500e-01,-2.86292505e-01,4.05070993e-02
6.17187500e-01,-2.81013171e-01,4.65083545e-02
6.32812500e-01,-2.74197096e-01,5.23941463e-02
6.48437500e-01,-2.65620042e-01,5.80563251e-02
6.64062500e-01,-2.55071640e-01,6.33724415e-02
6.79687500e-01,-2.42356800e-01,6.82103141e-02
6.95312500e-01,-2.27293932e-01,7.24335157e-02
7.10937500e-01,-2.09709483e-01,7.59072112e-02
7.26562500e-01,-1.89428581e-01,7.85042632e-02
7.42187500e-01,-1.66261931e-01,8.01109854e-02
7.57812500e-01,-1.39989528e-01,8.06325894e-02
7.73437500e-01,-1.10342219e-01,7.99978516e-02
7.89062500e-01,-7.69826932e-02,7.81633608e-02
8.04687500e-01,-3.94880930e-02,7.51171660e-02
8.20312500e-01,2.66291055e-03,7.08825542e-02
8.35937500e-01,5.00949169e-02,6.55219931e-02
8.51562500e-01,1.03527992e-01,5.91420584e-02
8.67187500e-01,1.63751891e-01,5.18990767e-02
8.82812500e-01,2.31576294e-01,4.40055817e-02
8.98437500e-01,3.07750997e-01,3.57359345e-02
9.14062500e-01,3.92851370e-01,2.74292636e-02
9.29687500e-01,4.87128205e-01,1.94856512e-02
9.45312500e-01,5.90328730e-01,1.23514393e-02
9.60937500e-01,7.01507821e-01,6.48830022e-03
9.76562500e-01,8.18865208e-01,2.32296909e-03
9.92187500e-01,9.39662931e-01,3.56989902e-04
