y,u_centerline,v_centerline
7.81250000e-03,-6.76512853e-03,7.19246935e-05
2.34375000e-02,-1.68672920e-02,1.49973504e-04
3.90625000e-02,-2.47990034e-02,1.62249607e-04
5.46875000e-02,-3.13051742e-02,1.73058816e-04
7.03125000e-02,-3.66644078e-02,1.79922546e-04
8.59375000e-02,-4.10203919e-02,1.81828268e-04
1.01562500e-01,-4.45298018e-02,1.78755162e-04
1.17187500e-01,-4.73706878e-02,1.71493129e-04
1.32812500e-01,-4.97172301e-02,1.61252375e-04
1.48437500e-01,-5.17234916e-02,1.49572398e-04
1.64062500e-01,-5.35186129e-02,1.38047358e-04
1.79687500e-01,-5.52072325e-02,1.28339337e-04
1.95312500e-01,-5.68717094e-02,1.22004529e-04
2.10937500e-01,-5.85749919e-02,1.20578774e-04
2.26562500e-01,-6.03639566e-02,1.25472703e-04
2.42187500e-01,-6.22727742e-02,1.38096064e-04
2.57812500e-01,-6.43261277e-02,1.59791076e-04
2.73437500e-01,-6.65418949e-02,1.91965382e-04
2.89062500e-01,-6.89333657e-02,2.36040493e-04
3.04687500e-01,-7.15108225e-02,2.93575262e-04
3.20312500e-01,-7.42827379e-02,3.66219973e-04
3.35937500e-01,-7.72564889e-02,4.55825151e-04
3.51562500e-01,-8.04388832e-02,5.64401960e-04
3.67187500e-01,-8.38363708e-02,6.94218193e-04
3.82812500e-01,-8.74552182e-02,8.47769289e-04
3.98437500e-01,-9.13014714e-02,1.02786448e-03
4.14062500e-01,-9.53809606e-02,1.23761157e-03
4.29687500e-01,-9.96991350e-02,1.48049384e-03
4.45312500e-01,-1.04260969e-01,1.76036796e-03
4.60937500e-01,-1.09070703e-01,2.08152759e-03
4.76562500e-01,-1.14131657e-01,2.44870812e-03
4.92187500e-01,-1.19445872e-01,2.86712847e-03
5.07812500e-01,-1.25013789e-01,1.94788055e-03
5.23437500e-01,-1.25695695e-01,1.10396820e-03
5.39062500e-01,-1.26628882e-01,1.62546339e-03
5.54687500e-01,-1.27809991e-01,2.16450006e-03
5.70312500e-01,-1.29233192e-01,2.72634157e-03
5.85937500e-01,-1.30890008e-01,3.31564145e-03
6.01562500e-01,-1.32769013e-01,3.93634871e-03
6.17187500e-01,-1.34855031e-01,4.59151560e-03
6.32812500e-01,-1.37127856e-01,5.28312142e-03
6.48437500e-01,-1.39559807e-01,6.01174438e-03
6.64062500e-01,-1.42111754e-01,6.77623306e-03
6.79687500e-01,-1.44726423e-01,7.57315355e-03
6.95312500e-01,-1.47317957e-01,8.39620511e-03
7.10937500e-01,-1.49755942e-01,9.23534354e-03
7.26562500e-01,-1.51842433e-01,1.00758824e-02
7.42187500e-01,-1.53280269e-01,1.08973430e-02
7.57812500e-01,-1.53632246e-01,1.16724920e-02
7.73437500e-01,-1.52271892e-01,1.23664808e-02
7.89062500e-01,-1.48329588e-01,1.29367832e-02
8.04687500e-01,-1.40640823e-01,1.33340166e-02
8.20312500e-01,-1.27707494e-01,1.35044993e-02
8.35937500e-01,-1.07686157e-01,1.33945399e-02
8.51562500e-01,-7.84189293e-02,1.29570324e-02
8.67187500e-01,-3.75207751e-02,1.21597309e-02
8.82812500e-01,1.74685140e-02,1.09949777e-02
8.98437500e-01,8.88686281e-02,9.48927452e-03
9.14062500e-01,1.78589562e-01,7.71153156e-03
9.29687500e-01,2.87827413e-01,5.77744914e-03
9.45312500e-01,4.16759598e-01,3.84801566e-03
9.60937500e-01,5.64329483e-01,2.11884898e-03
9.76562500e-01,7.28318426e-01,7.98530935e-04
9.92187500e-01,9.05889801e-01,1.33281812e-04
