y,u_centerline,v_centerline
3.90625000e-03,-1.42010388e-03,1.69458567e-06
1.17187500e-02,-3.98852213e-03,8.01262437e-06
1.95312500e-02,-6.30950301e-03,1.94447451e-05
2.73437500e-02,-8.39459694e-03,3.47040259e-05
3.51562500e-02,-1.02540885e-02,5.28297729e-05
4.29687500e-02,-1.19006001e-02,7.30457213e-05
5.07812500e-02,-1.33488636e-02,9.47501596e-05
5.85937500e-02,-1.46149829e-02,1.17482958e-04
6.64062500e-02,-1.57159177e-02,1.40915482e-04
7.42187500e-02,-1.66690601e-02,1.64821997e-04
8.20312500e-02,-1.74918505e-02,1.89070895e-04
8.98437500e-02,-1.82013944e-02,2.13600305e-04
9.76562500e-02,-1.88141405e-02,2.38411502e-04
1.05468750e-01,-1.93455952e-02,2.63550157e-04
1.13281250e-01,-1.98101239e-02,2.89099391e-04
1.21093750e-01,-2.02207959e-02,3.15168544e-04
1.28906250e-01,-2.05893174e-02,3.41887079e-04
1.36718750e-01,-2.09259977e-02,3.69395623e-04
1.44531250e-01,-2.12397887e-02,3.97844329e-04
1.52343750e-01,-2.15383399e-02,4.27388146e-04
1.60156250e-01,-2.18281072e-02,4.58183539e-04
1.67968750e-01,-2.21144555e-02,4.90388772e-04
1.75781250e-01,-2.24017976e-02,5.24160568e-04
1.83593750e-01,-2.26937098e-02,5.59655665e-04
1.91406250e-01,-2.29930701e-02,5.97030616e-04
1.99218750e-01,-2.33021624e-02,6.36442242e-04
2.07031250e-01,-2.36227966e-02,6.78048411e-04
2.14843750e-01,-2.39563891e-02,7.22009076e-04
2.22656250e-01,-2.43040571e-02,7.68486751e-04
2.30468750e-01,-2.46666733e-02,8.17648271e-04
2.38281250e-01,-2.50449352e-02,8.69664560e-04
2.46093750e-01,-2.54393965e-02,9.24712952e-04
2.53906250e-01,-2.58505168e-02,9.82976296e-04
2.61718750e-01,-2.62786749e-02,1.04464574e-03
2.69531250e-01,-2.67242037e-02,1.10991907e-03
2.77343750e-01,-2.71873921e-02,1.17900390e-03
2.85156250e-01,-2.76685102e-02,1.25211545e-03
2.92968750e-01,-2.81678029e-02,1.32948024e-03
3.00781250e-01,-2.86855099e-02,1.41133299e-03
3.08593750e-01,-2.92218552e-02,1.49792098e-03
3.16406250e-01,-2.97770633e-02,1.58950024e-03
3.24218750e-01,-3.03513460e-02,1.68634040e-03
3.32031250e-01,-3.09449173e-02,1.78872028e-03
3.39843750e-01,-3.15579791e-02,1.89693325e-03
3.47656250e-01,-3.21907345e-02,2.01128208e-03
3.55468750e-01,-3.28433730e-02,2.13208494e-03
3.63281250e-01,-3.35160834e-02,2.25966938e-03
3.71093750e-01,-3.42090384e-02,2.39437904e-03
3.78906250e-01,-3.49224075e-02,2.53656667e-03
3.86718750e-01,-3.56563404e-02,2.68660154e-03
3.94531250e-01,-3.64109807e-02,2.84486144e-03
4.02343750e-01,-3.71864482e-02,3.01174080e-03
4.10156250e-01,-3.79828531e-02,3.18764159e-03
4.17968750e-01,-3.88002769e-02,3.37298204e-03
4.25781250e-01,-3.96387877e-02,3.56818647e-03
4.33593750e-01,-4.04984201e-02,3.77369456e-03
4.41406250e-01,-4.13791904e-02,3.98994990e-03
4.49218750e-01,-4.22810759e-02,4.21740990e-03
4.57031250e-01,-4.32040309e-02,4.45653293e-03
4.64843750e-01,-4.41479647e-02,4.70778876e-03
4.72656250e-01,-4.51127581e-02,4.97164424e-03
4.80468750e-01,-4.60982410e-02,5.24857418e-03
4.88281250e-01,-4.71042092e-02,5.53904547e-03
4.96093750e-01,-4.81304010e-02,5.84352833e-03
5.03906250e-01,-4.91765155e-02,6.16247880e-03
5.11718750e-01,-5.02421873e-02,6.49635025e-03
5.19531250e-01,-5.13270070e-02,6.84557415e-03
5.27343750e-01,-5.24304941e-02,7.21057185e-03
5.35156250e-01,-5.35521199e-02,7.59173349e-03
5.42968750e-01,-5.46912787e-02,7.98943001e-03
5.50781250e-01,-5.58473128e-02,8.40399027e-03
5.58593750e-01,-5.70194831e-02,8.83571314e-03
5.66406250e-01,-5.82069964e-02,9.28484300e-03
5.74218750e-01,-5.94089746e-02,9.75158188e-03
5.82031250e-01,-6.06244854e-02,1.02360634e-02
5.89843750e-01,-6.18525107e-02,1.07383652e-02
5.97656250e-01,-6.30919802e-02,1.12584814e-02
6.05468750e-01,-6.43417386e-02,1.17963354e-02
6.13281250e-01,-6.56005837e-02,1.23517514e-02
6.21093750e-01,-6.68672313e-02,1.29244679e-02
6.28906250e-01,-6.81403567e-02,1.35141082e-02
6.36718750e-01,-6.94185572e-02,1.41201949e-02
6.44531250e-01,-7.07003956e-02,1.47421206e-02
6.52343750e-01,-7.19843562e-02,1.53791625e-02
6.60156250e-01,-7.32688865e-02,1.60304544e-02
6.67968750e-01,-7.45523405e-02,1.66950012e-02
6.75781250e-01,-7.58330079e-02,1.73716513e-02
6.83593750e-01,-7.71090300e-02,1.80591113e-02
6.91406250e-01,-7.83783962e-02,1.87559176e-02
6.99218750e-01,-7.96388030e-02,1.94604489e-02
7.07031250e-01,-8.08875780e-02,2.01708955e-02
7.14843750e-01,-8.21214272e-02,2.08852645e-02
7.22656250e-01,-8.33362147e-02,2.16013429e-02
7.30468750e-01,-8.45265058e-02,2.23166897e-02
7.38281250e-01,-8.56850845e-02,2.30285846e-02
7.46093750e-01,-8.68021448e-02,2.37339976e-02
7.53906250e-01,-8.78643698e-02,2.44295141e-02
7.61718750e-01,-8.88535653e-02,2.51112718e-02
7.69531250e-01,-8.97450665e-02,2.57748514e-02
7.77343750e-01,-9.05055633e-02,2.64151715e-02
7.85156250e-01,-9.10905771e-02,2.70263410e-02
7.92968750e-01,-9.14412368e-02,2.76015093e-02
8.00781250e-01,-9.14806305e-02,2.81326889e-02
8.08593750e-01,-9.11094168e-02,2.86105769e-02
8.16406250e-01,-9.02010593e-02,2.90243773e-02
8.24218750e-01,-8.85964546e-02,2.93616391e-02
8.32031250e-01,-8.60984520e-02,2.96081414e-02
8.39843750e-01,-8.24661672e-02,2.97478312e-02
8.47656250e-01,-7.74097525e-02,2.97628722e-02
8.55468750e-01,-7.05856749e-02,2.96338113e-02
8.63281250e-01,-6.15933186e-02,2.93399337e-02
8.71093750e-01,-4.99730536e-02,2.88598219e-02
8.78906250e-01,-3.52066799e-02,2.81722071e-02
8.86718750e-01,-1.67203780e-02,2.72571006e-02
8.94531250e-01,6.10894627e-03,2.60973282e-02
9.02343750e-01,3.39438479e-02,2.46804219e-02
9.10156250e-01,6.74721935e-02,2.30009731e-02
9.17968750e-01,1.07388491e-01,2.10633243e-02
9.25781250e-01,1.54369511e-01,1.88846370e-02
9.33593750e-01,2.09043396e-01,1.64980260e-02
9.41406250e-01,2.71950237e-01,1.39555675e-02
9.49218750e-01,3.43492468e-01,1.13305144e-02
9.57031250e-01,4.23872894e-01,8.71811865e-03
9.64843750e-01,5.13020155e-01,6.23392191e-03
9.72656250e-01,6.10503931e-01,4.00863132e-03
9.80468750e-01,7.15448354e-01,2.17851483e-03
9.88281250e-01,8.26459906e-01,8.71332048e-04
9.96093750e-01,9.41596371e-01,1.81694091e-04
