y,u_centerline,v_centerline
7.81250000e-03,-6.38112568e-03,1.50455149e-04
2.34375000e-02,-1.78422522e-02,3.32391869e-04
3.90625000e-02,-2.81390254e-02,4.06286975e-04
5.46875000e-02,-3.73977886e-02,4.96682268e-04
7.03125000e-02,-4.57372803e-02,5.94099834e-04
8.59375000e-02,-5.32704312e-02,6.91954814e-04
1.01562500e-01,-6.01055028e-02,7.86158952e-04
1.17187500e-01,-6.63464632e-02,8.74987448e-04
1.32812500e-01,-7.20929702e-02,9.58705129e-04
1.48437500e-01,-7.74402008e-02,1.03946154e-03
1.64062500e-01,-8.24786172e-02,1.12096189e-03
1.79687500e-01,-8.72937158e-02,1.20840197e-03
1.95312500e-01,-9.19657939e-02,1.30819240e-03
2.10937500e-01,-9.65697689e-02,1.42793643e-03
2.26562500e-01,-1.01175070e-01,1.57621130e-03
2.42187500e-01,-1.05845619e-01,1.76259002e-03
2.57812500e-01,-1.10639905e-01,1.99748288e-03
2.73437500e-01,-1.15611130e-01,2.29220442e-03
2.89062500e-01,-1.20807434e-01,2.65887817e-03
3.04687500e-01,-1.26272154e-01,3.11055008e-03
3.20312500e-01,-1.32044097e-01,3.66115903e-03
3.35937500e-01,-1.38157795e-01,4.32569654e-03
3.51562500e-01,-1.44643697e-01,5.12024308e-03
3.67187500e-01,-1.51528260e-01,6.06217018e-03
3.82812500e-01,-1.58833887e-01,7.17023664e-03
3.98437500e-01,-1.66578662e-01,8.46482150e-03
4.14062500e-01,-1.74775812e-01,9.96806484e-03
4.29687500e-01,-1.83432846e-01,1.17041102e-02
4.45312500e-01,-1.92550269e-01,1.36992662e-02
4.60937500e-01,-2.02119787e-01,1.59822344e-02
4.76562500e-01,-2.12121878e-01,1.85842771e-02
4.92187500e-01,-2.22522561e-01,2.15394392e-02
5.07812500e-01,-2.33269140e-01,1.43180627e-02
5.23437500e-01,-2.34032100e-01,7.38665190e-03
5.39062500e-01,-2.35007108e-01,1.10548603e-02
5.54687500e-01,-2.36094773e-01,1.48290095e-02
5.70312500e-01,-2.37168681e-01,1.87220650e-02
5.85937500e-01,-2.38074565e-01,2.27348942e-02
6.01562500e-01,-2.38629974e-01,2.68541850e-02
6.17187500e-01,-2.38624505e-01,3.10506982e-02
6.32812500e-01,-2.37820554e-01,3.52781629e-02
6.48437500e-01,-2.35954501e-01,3.94728618e-02
6.64062500e-01,-2.32738108e-01,4.35542648e-02
6.79687500e-01,-2.27859769e-01,4.74266567e-02
6.95312500e-01,-2.20985185e-01,5.09820516e-02
7.10937500e-01,-2.11756936e-01,5.41041207e-02
7.26562500e-01,-1.99792493e-01,5.66732652e-02
7.42187500e-01,-1.84680361e-01,5.85723020e-02
7.57812500e-01,-1.65974307e-01,5.96927576e-02
7.73437500e-01,-1.43186101e-01,5.99410998e-02
7.89062500e-01,-1.15777680e-01,5.92449600e-02
8.04687500e-01,-8.31543119e-02,5.75587906e-02
8.20312500e-01,-4.46609445e-02,5.48693188e-02
8.35937500e-01,4.15414576e-04,5.12005264e-02
8.51562500e-01,5.28338400e-02,4.66188098e-02
8.67187500e-01,1.13374111e-01,4.12380505e-02
8.82812500e-01,1.82793286e-01,3.52248882e-02
8.98437500e-01,2.61759493e-01,2.88029296e-02
9.14062500e-01,3.50758815e-01,2.22545924e-02
9.29687500e-01,4.49973590e-01,1.59171887e-02
9.45312500e-01,5.59136034e-01,1.01699034e-02
9.60937500e-01,6.77371228e-01,5.40722326e-03
9.76562500e-01,8.03057957e-01,1.99692111e-03
9.92187500e-01,9.33751149e-01,3.36281024e-04
