y,u_centerline,v_centerline
7.81250000e-03,-6.21881169e-03,1.26741628e-04
2.34375000e-02,-1.73049011e-02,2.82193744e-04
3.90625000e-02,-2.71892224e-02,3.49396108e-04
5.46875000e-02,-3.59950285e-02,4.31258414e-04
7.03125000e-02,-4.38388004e-02,5.19149814e-04
8.59375000e-02,-5.08354370e-02,6.07163725e-04
1.01562500e-01,-5.70978434e-02,6.91688980e-04
1.17187500e-01,-6.27357068e-02,7.71246367e-04
1.32812500e-01,-6.78546234e-02,8.46088838e-04
1.48437500e-01,-7.25554509e-02,9.18073397e-04
1.64062500e-01,-7.69337016e-02,9.90313581e-04
1.79687500e-01,-8.10789775e-02,1.06709892e-03
1.95312500e-01,-8.50744997e-02,1.15360870e-03
2.10937500e-01,-8.89967933e-02,1.25588283e-03
2.26562500e-01,-9.29155458e-02,1.38060122e-03
2.42187500e-01,-9.68936494e-02,1.53510699e-03
2.57812500e-01,-1.00987404e-01,1.72725361e-03
2.73437500e-01,-1.05246862e-01,1.96547949e-03
2.89062500e-01,-1.09716278e-01,2.25872282e-03
3.04687500e-01,-1.14434631e-01,2.61654493e-03
3.20312500e-01,-1.19436159e-01,3.04911099e-03
3.35937500e-01,-1.24750898e-01,3.56735784e-03
3.51562500e-01,-1.30405153e-01,4.18303690e-03
3.67187500e-01,-1.36421883e-01,4.90891983e-03
3.82812500e-01,-1.42820946e-01,5.75889613e-03
3.98437500e-01,-1.49619181e-01,6.74820408e-03
4.14062500e-01,-1.56830267e-01,7.89356633e-03
4.29687500e-01,-1.64464320e-01,9.21342082e-03
4.45312500e-01,-1.72527169e-01,1.07280609e-02
4.60937500e-01,-1.81019240e-01,1.24598227e-02
4.76562500e-01,-1.89933957e-01,1.44331785e-02
4.92187500e-01,-1.99255555e-01,1.66748265e-02
5.07812500e-01,-2.08956144e-01,1.10480833e-02
5.23437500e-01,-2.09905991e-01,5.65740940e-03
5.39062500e-01,-2.11155404e-01,8.44270840e-03
5.54687500e-01,-2.12642987e-01,1.13147703e-02
5.70312500e-01,-2.14284660e-01,1.42897762e-02
5.85937500e-01,-2.15971127e-01,1.73758715e-02
6.01562500e-01,-2.17565144e-01,2.05713435e-02
6.17187500e-01,-2.18898704e-01,2.38627958e-02
6.32812500e-01,-2.19770252e-01,2.72235822e-02
6.48437500e-01,-2.19942064e-01,3.06125292e-02
6.64062500e-01,-2.19137845e-01,3.39733321e-02
6.79687500e-01,-2.17040564e-01,3.72346431e-02
6.95312500e-01,-2.13290453e-01,4.03112696e-02
7.10937500e-01,-2.07483025e-01,4.31063731e-02
7.26562500e-01,-1.99166926e-01,4.55149873e-02
7.42187500e-01,-1.87841500e-01,4.74285041e-02
7.57812500e-01,-1.72954052e-01,4.87402659e-02
7.73437500e-01,-1.53897106e-01,4.93516696e-02
7.89062500e-01,-1.30006313e-01,4.91788237e-02
8.04687500e-01,-1.00560190e-01,4.81590999e-02
8.20312500e-01,-6.47834133e-02,4.62577564e-02
8.35937500e-01,-2.18559468e-02,4.34741414e-02
8.51562500e-01,2.90691650e-02,3.98479024e-02
8.67187500e-01,8.88360550e-02,3.54647598e-02
8.82812500e-01,1.58240648e-01,3.04620663e-02
8.98437500e-01,2.37965766e-01,2.50329401e-02
9.14062500e-01,3.28493308e-01,1.94278781e-02
9.29687500e-01,4.29991896e-01,1.39507870e-02
9.45312500e-01,5.42182918e-01,8.94650415e-03
9.60937500e-01,6.64196663e-01,4.77580461e-03
9.76562500e-01,7.94444812e-01,1.77639105e-03
9.92187500e-01,9.30554232e-01,3.04395794e-04
