y,u_centerline,v_centerline
7.81250000e-03,-6.52913979e-03,1.73128513e-04
2.34375000e-02,-1.83217777e-02,3.77369181e-04
3.90625000e-02,-2.89853098e-02,4.50129616e-04
5.46875000e-02,-3.86453173e-02,5.38467455e-04
7.03125000e-02,-4.74202201e-02,6.32665118e-04
8.59375000e-02,-5.54220838e-02,7.25966717e-04
1.01562500e-01,-6.27573994e-02,8.14229856e-04
1.17187500e-01,-6.95276527e-02,8.95833856e-04
1.32812500e-01,-7.58296570e-02,9.71343341e-04
1.48437500e-01,-8.17557095e-02,1.04343531e-03
1.64062500e-01,-8.73936265e-02,1.11659858e-03
1.79687500e-01,-9.28267112e-02,1.19709184e-03
1.95312500e-01,-9.81336844e-02,1.29268710e-03
2.10937500e-01,-1.03388613e-01,1.41266079e-03
2.26562500e-01,-1.08660849e-01,1.56758366e-03
2.42187500e-01,-1.14015003e-01,1.76934444e-03
2.57812500e-01,-1.19510943e-01,2.03098767e-03
2.73437500e-01,-1.25203832e-01,2.36677001e-03
2.89062500e-01,-1.31144181e-01,2.79204856e-03
3.04687500e-01,-1.37377910e-01,3.32337110e-03
3.20312500e-01,-1.43946389e-01,3.97841836e-03
3.35937500e-01,-1.50886425e-01,4.77613012e-03
3.51562500e-01,-1.58230167e-01,5.73670502e-03
3.67187500e-01,-1.66004880e-01,6.88176406e-03
3.82812500e-01,-1.74232532e-01,8.23441071e-03
3.98437500e-01,-1.82929160e-01,9.81943375e-03
4.14062500e-01,-1.92103910e-01,1.16634324e-02
4.29687500e-01,-2.01757713e-01,1.37950667e-02
4.45312500e-01,-2.11881465e-01,1.62452672e-02
4.60937500e-01,-2.22453608e-01,1.90475703e-02
4.76562500e-01,-2.33436935e-01,2.22384844e-02
4.92187500e-01,-2.44774371e-01,2.58580398e-02
5.07812500e-01,-2.56383370e-01,1.72502544e-02
5.23437500e-01,-2.56763514e-01,8.97534165e-03
5.39062500e-01,-2.57230594e-01,1.34555558e-02
5.54687500e-01,-2.57648792e-01,1.80524761e-02
5.70312500e-01,-2.57854949e-01,2.27727162e-02
5.85937500e-01,-2.57659880e-01,2.76074118e-02
6.01562500e-01,-2.56850683e-01,3.25301944e-02
6.17187500e-01,-2.55193866e-01,3.74958497e-02
6.32812500e-01,-2.52439010e-01,4.24399608e-02
6.48437500e-01,-2.48322598e-01,4.72795346e-02
6.64062500e-01,-2.42571472e-01,5.19148898e-02
6.79687500e-01,-2.34905344e-01,5.62326317e-02
6.95312500e-01,-2.25037664e-01,6.01098704e-02
7.10937500e-01,-2.12674253e-01,6.34192660e-02
7.26562500e-01,-1.97509193e-01,6.60349036e-02
7.42187500e-01,-1.79217786e-01,6.78383802e-02
7.57812500e-01,-1.57446717e-01,6.87250629e-02
7.73437500e-01,-1.31802131e-01,6.86098820e-02
7.89062500e-01,-1.01836844e-01,6.74328035e-02
8.04687500e-01,-6.70385947e-02,6.51635717e-02
8.20312500e-01,-2.68218640e-02,6.18062460e-02
8.35937500e-01,1.94735092e-02,5.74034282e-02
8.51562500e-01,7.25730463e-02,5.20409509e-02
8.67187500e-01,1.33243120e-01,4.58528217e-02
8.82812500e-01,2.02246118e-01,3.90266903e-02
8.98437500e-01,2.80270008e-01,3.18084591e-02
9.14062500e-01,3.67827887e-01,2.45045400e-02
9.29687500e-01,4.65126012e-01,1.74780894e-02
9.45312500e-01,5.71905131e-01,1.11355572e-02
9.60937500e-01,6.87270758e-01,5.89875297e-03
9.76562500e-01,8.09543154e-01,2.16011008e-03
9.92187500e-01,9.36174217e-01,3.55416585e-04
